R/V POLARSTERN             WHP-ID S04/SR04                      20000229WHPSIOSCD                                                       
SHIP/CRS       WOCE               CAST         UTC           POSITION                UNC   COR  ABOVE WIRE   MAX NO.  OF              
EXPOCODE       SECT STNNBR CASTNO TYPE DATE   TIME CODE LATITUDE   LONGITUDE   NAV DEPTH DEPTH BOTTOM  OUT PRESS BOTTLES PARAMETERS COMMENTS            
--------------------------------------------------------------------------------------------------------------------------------------------
06AQANTXIII_4  S04       2      1  CTD 032096 1330   BE 44 00.35 S  27 05.64 E UNK  5534                    2504                    CTD 1347
06AQANTXIII_4  S04       2      2  CTD 032096 1509   BE 44 00.68 S  27 06.10 E UNK  5534                    2502                    CTD 1360
06AQANTXIII_4  S04       3      1  CTD 032396 0601   BE 53 59.96 S  38 59.81 E UNK  3321                    3340                    CTD 1360
06AQANTXIII_4  S04       4      1  CTD 032396 0930   BE 54 00.09 S  38 47.02 E UNK  3576                    3562                    CTD 1347
06AQANTXIII_4  S04       5      1  CTD 032396 1354   BE 53 59.89 S  38 22.88 E UNK  4036                     502                    CTD 1360
06AQANTXIII_4  S04       5      3  CTD 032396 1605   BE 54 00.20 S  38 22.40 E UNK  4070                    4096                    CTD 1360
06AQANTXIII_4  S04       6      1  CTD 032396 2202   BE 54 00.13 S  37 36.68 E UNK  4687                    4730                    CTD 1360
06AQANTXIII_4  S04       7      1  CTD 032496 0421   BE 54 00.00 S  36 45.00 E UNK  4758                     212                    CTD 1360
06AQANTXIII_4  S04       7      2  CTD 032496 0538   BE 54 00.20 S  36 46.10 E UNK  4762                    4830                    CTD 1360
06AQANTXIII_4  S04       8      1  CTD 032496 1423   BE 53 59.90 S  35 50.10 E UNK  4862                    4892                    CTD 1360
06AQANTXIII_4  S04       9      1  CTD 032596 0047   BE 54 00.10 S  34 08.70 E UNK  5402                    5480                    CTD 1360
06AQANTXIII_4  S04      10      1  CTD 032596 1000   BE 53 59.97 S  32 26.62 E UNK  5461                    5554                    CTD 1360
06AQANTXIII_4  S04      11      1  CTD 032596 2000   BE 53 59.89 S  30 45.93 E UNK  5040                    5120                    CTD 1360
06AQANTXIII_4  S04      12      1  CTD 032696 0920   BE 54 00.21 S  29 06.66 E UNK  4611                    4584                    CTD 1360
06AQANTXIII_4  S04      13      1  CTD 032696 1942   BE 54 00.06 S  27 22.99 E UNK  4294                     504                    CTD 1360
06AQANTXIII_4  S04      13      3  CTD 032696 2216   BE 54 01.40 S  27 23.03 E UNK  4310                    4400                    CTD 1360
06AQANTXIII_4  S04      14      1  CTD 032796 0734   BE 54 00.17 S  26 30.20 E UNK  4655                     511                    CTD 1347
06AQANTXIII_4  S04      14      3  CTD 032796 0951   BE 54 00.17 S  26 29.32 E UNK  4735                    4776                    CTD 1347
06AQANTXIII_4  S04      15      2  CTD 032796 1706   BE 54 00.17 S  25 44.40 E UNK  3702                     258                    CTD 1347
06AQANTXIII_4  S04      15      4  CTD 032796 2050   BE 54 00.96 S  25 43.61 E UNK  3456                    3520                    CTD 1347
06AQANTXIII_4  S04      16      1  CTD 032896 0330   BE 53 47.80 S  24 41.00 E UNK  3558                    3646                    CTD 1347
06AQANTXIII_4  S04      17      1  CTD 032896 1205   BE 54 45.17 S  24 38.29 E UNK  3560                    3760                    CTD 1347
06AQANTXIII_4  S04      18      1  CTD 032896 2150   BE 55 29.96 S  23 26.05 E UNK  4643                    4728                    CTD 1360
06AQANTXIII_4  S04      19      1  CTD 032996 0654   BE 56 15.08 S  22 14.70 E UNK  5114                     366                    CTD 1360
06AQANTXIII_4  S04      19      3  CTD 032996 0920   BE 56 14.69 S  22 14.84 E UNK  5182                    5386                    CTD 1360
06AQANTXIII_4  S04      20      1  CTD 032996 1903   BE 57 00.05 S  21 00.36 E UNK  4880                    5104                    CTD 1360
06AQANTXIII_4  S04      21      1  CTD 033096 0653   BE 57 10.86 S  19 08.57 E UNK  4816                    4880                    CTD 1360
06AQANTXIII_4  S04      22      1  CTD 033096 1845   BE 57 21.40 S  17 15.43 E UNK  4935                     504                    CTD 1347
06AQANTXIII_4  S04      22      3  CTD 033096 2054   BE 57 22.10 S  17 15.50 E UNK  5057                    5158                    CTD 1347
06AQANTXIII_4  S04      23      1  CTD 033196 0838   BE 57 32.25 S  15 22.50 E UNK  5138                    5240                    CTD 1347
06AQANTXIII_4  S04      24      1  CTD 033196 1927   BE 57 42.79 S  13 29.27 E UNK  5507                    5674                    CTD 1360
06AQANTXIII_4  S04      25      1  CTD 040196 0804   BE 57 53.44 S  11 35.15 E UNK  5626                     506                    CTD 1360
06AQANTXIII_4  S04      25      3  CTD 040196 1019   BE 57 53.51 S  11 35.67 E UNK  5740                    5806                    CTD 1360
06AQANTXIII_4  S04      26      1  CTD 040296 0054   BE 58 04.20 S  09 40.50 E UNK  5502                    5626                    CTD 1360
06AQANTXIII_4  S04      27      1  CTD 040296 1155   BE 58 19.87 S  07 45.56 E UNK  4095                    4240                    CTD 1347
06AQANTXIII_4  S04      28      1  CTD 040396 0010   BE 58 25.50 S  05 49.90 E UNK  5115                     506                    CTD 1347
06AQANTXIII_4  S04      28      3  CTD 040396 0225   BE 58 25.28 S  05 49.88 E UNK  5070                    5188                    CTD 1347
06AQANTXIII_4  S04      29      1  CTD 040396 1302   BE 58 36.26 S  03 53.48 E UNK  5390                    5506                    CTD 1347
06AQANTXIII_4  S04      30      1  CTD 040396 2215   BE 58 46.94 S  01 56.60 E UNK  4466                    4368                    CTD 1347
06AQANTXIII_4  S04      31      1  CTD 040496 0757   BE 59 00.09 S  00 00.00 E UNK  4590                     506                    CTD 1347
06AQANTXIII_4  S04      31      4  CTD 040496 1051   BE 59 00.91 S  00 00.21 E UNK  4596                    4640                    CTD 1347
06AQANTXIII_4  S04      32      1  CTD 040596 1219   BE 59 27.00 S  03 10.90 E UNK  5032                    5108                    CTD 1347
06AQANTXIII_4  S04      33      1  CTD 040796 0408   BE 54 23.47 S  03 17.94 E UNK  2525                    2514                    CTD 1347
06AQANTXIII_4  S04      34      1  CTD 040996 1213   BE 50 04.98 S  05 52.60 E UNK  3797                     502                    CTD 1347
06AQANTXIII_4  S04      34      3  CTD 040996 1439   BE 50 06.60 S  05 53.60 E UNK  3793                    3800                    CTD 1347
06AQANTXIII_4  S04      34      4  CTD 040996 1722   BE 50 07.74 S  05 54.49 E UNK  3772                    3812                    CTD 1360
06AQANTXIII_4  S04      35      1  CTD 041296 0815   BE 55 00.09 S  00 00.05 E UNK  1710                     504                    CTD 1347
06AQANTXIII_4  S04      35      4  CTD 041296 1154   BE 55 00.18 S  00 01.05 E UNK  1674                    1676                    CTD 1347
06AQANTXIII_4  S04      36      1  CTD 041296 1801   BE 55 29.95 S  00 00.03 E UNK  3741                    3722                    CTD 1347
06AQANTXIII_4  S04      37      1  CTD 041396 0211   BE 56 00.05 S  00 00.15 W UNK  3787                    3762                    CTD 1347
06AQANTXIII_4  S04      38      1  CTD 041396 1637   BE 57 01.13 S  00 00.40 E UNK  3634                     510                    CTD 1347
06AQANTXIII_4  S04      38      4  CTD 041396 2016   BE 57 01.23 S  00 00.91 E UNK  3629                    3656                    CTD 1347
06AQANTXIII_4  S04      39      1  CTD 041496 0259   BE 57 30.00 S  00 00.00 E UNK  3908                    4036                    CTD 1347
06AQANTXIII_4  S04      40      1  CTD 041496 1010   BE 58 00.14 S  00 00.24 W UNK  4494                    4566                    CTD 1347
06AQANTXIII_4  S04      41      1  CTD 041496 1617   BE 58 30.00 S  00 00.00 E UNK  4198                    4210                    CTD 1347
06AQANTXIII_4  S04      42      1  CTD 041496 2213   BE 59 00.14 S  00 00.16 W UNK  4565                    4626                    CTD 1347
06AQANTXIII_4  S04      43      1  CTD 041596 0456   BE 59 29.93 S  00 00.01 E UNK  4610                    4678                    CTD 1347
06AQANTXIII_4  S04      44      1  CTD 041596 1100   BE 60 00.11 S  00 00.15 W UNK  5339                     512                    CTD 1347
06AQANTXIII_4  S04      44      3  CTD 041596 1302   BE 59 59.99 S  00 01.48 E UNK  5378                    5460                    CTD 1347
06AQANTXIII_4  S04      45      1  CTD 041596 2054   BE 60 30.49 S  00 00.10 E UNK  5352                    5436                    CTD 1347
06AQANTXIII_4  S04      46      1  CTD 041696 0313   BE 61 00.12 S  00 00.02 E UNK  5383                    5456                    CTD 1347
06AQANTXIII_4  S04      47      1  CTD 041696 0945   BE 61 30.06 S  00 00.72 W UNK  5381                    5456                    CTD 1347
06AQANTXIII_4  S04      48      1  CTD 041696 1646   BE 61 59.93 S  00 00.05 E UNK  5356                     514                    CTD 1347
06AQANTXIII_4  S04      48      3  CTD 041696 1838   BE 62 00.24 S  00 00.89 E UNK  5355                    5438                    CTD 1347
06AQANTXIII_4  S04      49      1  CTD 041796 0243   BE 62 30.04 S  00 00.08 W UNK  5332                    5422                    CTD 1347
06AQANTXIII_4  S04      50      1  CTD 041796 1018   BE 63 00.32 S  00 00.06 E UNK  5290                    5376                    CTD 1347
06AQANTXIII_4  S04      51      1  CTD 041796 1656   BE 63 30.04 S  00 00.19 W UNK  5224                    5318                    CTD 1347
06AQANTXIII_4  S04      52      1  CTD 041896 0017   BE 64 00.06 S  00 00.20 W UNK  5179                     752                    CTD 1347
06AQANTXIII_4  S04      52      3  CTD 041896 0243   BE 63 59.98 S  00 00.05 E UNK  5190                    5272                    CTD 1347
06AQANTXIII_4  S04      53      1  CTD 041896 1550   BE 64 29.97 S  00 00.26 E UNK  4636                    4708                    CTD 1347
06AQANTXIII_4  S04      54      1  CTD 041896 2156   BE 65 00.18 S  00 00.87 E UNK  3681                     506                    CTD 1347
06AQANTXIII_4  S04      54      3  CTD 041996 0018   BE 64 59.67 S  00 02.39 E UNK  3668                    3706                    CTD 1347
06AQANTXIII_4  S04      55      1  CTD 041996 0644   BE 65 35.05 S  00 00.11 E UNK  3768                    3820                    CTD 1347
