WOCE ID, year, also known as , EXPO code, batch number (if found in cruise document),,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1990, A01E/AR07/AR07E,, P112,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1990, A01W/AR07/AR07W,, P104,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1991, A01E/AR07/AR07E,, P112/P114,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1991, A01E,, P112,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1992, A01E/AR07/AR07E,, P119,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1992, A01W/AR07/AR07W,, P112,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1993, A01W/AR07/AR07W,, P117,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1994, A01E/AR07/AR07E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1994, A01W/AR07/AR07W,, P123,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1994, A01W/AR07/AR07W,, P124,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1995, A01E/AR07/AR07E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1995, A01W/AR07/AR07W,, P126,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1996, A01E/AR07/AR07E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1996, A01W/AR07/AR07W,, P124,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1997, A01E/AR07/AR07E,, P129,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1997, A01W/AR07/AR07W,, P129,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,1998, A01w/AR07/AR07W,, P133,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,1994,,, P124,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,1997,,, P129,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,1981,,, P93,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,1992,,, P120,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,1998, AR01,, P125,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,2004,,, P143/P144,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,1992,,06MT22_5, P120 (pers.comm),,,,,,,,,,,,,,,,,,,,,,,,,,
A10,2003,,49NZ0031106, P142,,,,,,,,,,,,,,,,,,,,,,,,,,
A9.5,2009, A10, 740H20090307, P150,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,2011,,, P152,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,1992,,, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,1996, S04,, P127,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,1999,,, P134,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,2000,,, P135,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,2002,,, P140,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,2005,,, P144,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,1983, A13.5,, P92,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,2010, A13.5,, P147,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1988, A16N,, P108,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1989, A16C,, P108,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1989, A16S,, P108,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1993, A16N,, P119,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1995, A23,, P125,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,1998, AR21,, P133,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,2003, A16N,, P143,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,2005, A16S,, P143,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,2011, A16N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20,1997, A20,, P131,,,,,,,,,,,,,,,,,,,,,,,,,,
A20,2003, A20,, P140,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,1997, A22,, P131,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,2003, A22,, P140,,,,,,,,,,,,,,,,,,,,,,,,,,
I02,1995,,, P128,,,,,,,,,,,,,,,,,,,,,,,,,,
I02,2000,,, P133/P138,,,,,,,,,,,,,,,,,,,,,,,,,,
I03,1995,, 316N145_8, P126,,,,,,,,,,,,,,,,,,,,,,,,,,
I03,2003, I04, 49NZ20031209, P142,,,,,,,,,,,,,,,,,,,,,,,,,,
I04,1995, I05W/I07C, 316N145_9, P126,,,,,,,,,,,,,,,,,,,,,,,,,,
I04,2003, I03, 49NZ20031209, P142,,,,,,,,,,,,,,,,,,,,,,,,,,
I05,1987,, 74AB29_1, P97,,,,,,,,,,,,,,,,,,,,,,,,,,
I05,1995, I05W, 316N145_0, P126,,,,,,,,,,,,,,,,,,,,,,,,,,
